faiss_idx,scene,ts_ns,frame_idx,tx,ty,tz,qw,qx,qy,qz
122,seq01,11699410017875,16,0.170261,-0.887414,-0.018155,0.476230347,0.567353286,0.448018449,-0.500594021
123,seq01,11700410012250,17,0.058663,-1.242991,0.008593,0.499427557,0.547993677,0.4141429,-0.527977939
124,seq01,11701410013587,18,0.036409,-1.295345,0.00139,0.418047976,0.590423497,0.470788892,-0.50496911
125,seq01,11702410015837,19,-0.000572,-1.315998,-0.010181,0.411372949,0.570920663,0.536680737,-0.465613229
126,seq01,11703410020050,20,-0.039369,-1.315108,-0.009178,0.42023071,0.589397039,0.506269587,-0.468730611
127,seq01,11704410018087,21,-0.081081,-1.328734,-0.014908,0.386787923,0.587091232,0.506634216,-0.499039837
128,seq01,11705410016587,22,-0.13042,-1.275237,-0.012736,0.455905983,0.57709615,0.414219497,-0.536220083
129,seq01,11706410015425,23,-0.161388,-1.32325,-0.053708,0.519896437,0.631477471,0.387795788,-0.424921551
130,seq01,11707410017425,24,-0.241955,-1.152404,-0.096869,0.256782219,0.772676997,0.260334268,-0.518901936
131,seq01,11708410008087,25,-0.125711,-0.637687,-0.051549,0.429382592,0.6363149,0.47542559,-0.429772551
132,seq01,11709410018750,26,-0.102748,-0.332608,-0.018995,0.497363817,0.549622442,0.538470812,-0.4007413
133,seq01,11710410021050,27,-0.093876,-0.296706,-0.023733,0.490981026,0.555616274,0.565593161,-0.361016017
134,seq01,11711410016625,28,-0.321813,-0.409037,-0.049772,0.455772129,0.616878872,0.513261759,-0.385090366
135,seq01,11712410022750,29,-0.952687,-0.656693,-0.040869,0.41263841,0.686168745,0.463033113,-0.380134625
136,seq01,11713410017212,30,-1.483683,-0.620771,-0.033435,0.50849654,0.541280178,0.604607454,-0.287918155
137,seq01,11714410013712,31,-1.548938,-0.502298,-0.033941,0.543928526,0.482025848,0.673159875,-0.136559961
138,seq01,11715410015550,32,-1.549686,-0.491155,-0.03506,0.521482646,0.503463144,0.672053998,-0.151407188
139,seq01,11716410016337,33,-1.586208,-0.512536,-0.034315,0.497177488,0.554096067,0.626568001,-0.230661297
140,seq01,11717410018625,34,-1.604117,-0.528314,-0.031254,0.510071435,0.555159651,0.61236977,-0.237966717
141,seq01,11718410018250,35,-1.589285,-0.513865,-0.029063,0.538045274,0.526540647,0.623635339,-0.210573487
142,seq01,11719410012675,36,-1.613639,-0.505572,-0.031792,0.534642944,0.514571563,0.634432788,-0.216490338
143,seq01,11720410014962,37,-1.619463,-0.504642,-0.028127,0.544818476,0.512080608,0.631207419,-0.206212205
144,seq01,11721410016800,38,-1.604033,-0.591823,-0.052584,0.51156636,0.497775064,0.648036036,-0.26564853
145,seq01,11722410014837,39,-1.448739,-1.093642,-0.133042,0.463457032,0.626192265,0.618068278,-0.105273117
146,seq01,11723410011425,40,-1.438203,-1.228182,-0.1441,0.47554319,0.612983594,0.624485395,-0.0901542
147,seq01,11724410016500,41,-1.404003,-1.233031,-0.143531,0.512511749,0.563701625,0.64663999,-0.037800891
148,seq01,11725410017925,42,-1.410358,-1.230351,-0.154705,0.457312478,0.589516661,0.664992269,-0.033476643
149,seq01,11726410020375,43,-1.496387,-1.221028,-0.147543,0.442733447,0.70217213,0.543086405,-0.126485379
150,seq01,11727410015962,44,-1.499739,-1.217226,-0.152776,0.401974011,0.690823502,0.580429143,-0.155826165
151,seq01,11728410015712,45,-1.450417,-1.220379,-0.144563,0.378169966,0.714632213,0.572495186,-0.136152629
152,seq01,11729410021175,46,-1.459207,-1.206669,-0.137381,0.39482171,0.660455403,0.624977245,-0.131597573
153,seq01,11730410021550,47,-1.450051,-1.203817,-0.140766,0.422064465,0.619151507,0.655215024,-0.095949316
154,seq01,11731410015250,48,-1.469394,-1.250343,-0.143575,0.476635024,0.597896344,0.633526311,-0.118251549
155,seq01,11732410011337,49,-1.506486,-1.362915,-0.425712,0.463341163,0.635370319,0.616603245,-0.037682389
156,seq01,11733410019500,50,-1.183053,-1.378714,-0.36567,0.555885497,0.446244252,0.691629097,0.116217786
157,seq01,11734410010750,51,-0.651556,-1.472816,-0.320022,0.522555051,0.530562743,0.666564807,-0.033626665
158,seq01,11735410015712,52,-0.389416,-1.483482,-0.276919,0.464948353,0.644041936,0.540944436,-0.276427445
159,seq01,11736410019875,53,-0.271409,-1.272651,-0.280074,0.490257204,0.598205308,0.54588815,-0.32218692
160,seq01,11737410016675,54,-0.234029,-1.263847,-0.317028,0.468128406,0.615539258,0.566607393,-0.284470174
161,seq01,11738410021425,55,-0.261041,-1.227148,-0.124265,0.415379845,0.59923727,0.515201065,-0.450491001
162,seq01,11739410016175,56,-0.316576,-1.536869,-0.092334,0.378244603,0.644898879,0.5049389,-0.431361986
163,seq01,11740410011050,57,-0.400131,-1.520781,-0.088336,0.396117456,0.656516536,0.48851862,-0.416445143
164,seq01,11741410015800,58,-0.376452,-1.511115,-0.079611,0.403569034,0.644933513,0.52624698,-0.379811684
165,seq01,11742410010587,59,-0.429505,-1.517782,-0.082967,0.470791374,0.606721026,0.567024105,-0.297873705
166,seq01,11743410014300,60,-0.529698,-1.486328,-0.092514,0.381604165,0.657591237,0.509752532,-0.402621886
167,seq01,11744410019550,61,-1.240537,-1.124138,-0.090374,0.321741455,0.756554337,0.350558549,-0.448571817
168,seq01,11745410012125,62,-1.956409,-0.800583,-0.037842,0.508792964,0.666046867,0.430089297,-0.335461603
169,seq01,11746410013337,63,-2.194353,-0.711838,-0.058802,0.587480343,0.673626777,0.345602122,-0.285749864
170,seq01,11747410020250,64,-2.239074,-0.672729,-0.089108,0.617622165,0.686435044,0.341649921,-0.175000352
171,seq01,11748410015837,65,-2.129372,-0.710485,-0.041419,0.680040969,0.509138618,0.496489049,-0.178383778
172,seq01,11749410022500,66,-2.081227,-0.718998,-0.041112,0.641487717,0.512987078,0.544425155,-0.170114717
173,seq01,11750410008750,67,-1.93968,-0.703922,-0.024755,0.679755101,0.259391299,0.685617704,0.024031649
174,seq01,11751410017500,68,-1.700079,-0.644803,-0.064701,0.450677253,0.609010733,0.610097307,-0.231899153
